"negative", "Mam wrażenie jakby ten film został zrobiony tylko po to aby pokazać metalowo-szklane wnętrza, sukienki pasujące do dywanów, puścić kilka zagranicznych hitów i wykorzystać "typowe dla komedii romantycznej" elementy. Film jest koszmarnie naiwny. "Polski Brad Pitt" aka Zakościelny - typowy Polak - skończył dopiero studia, ale już pracuje w super firmie, ma lśniące nowoczesnością mieszkanie i wypasioną furę. Nic mi się w tym filmie nie podobało. Niektóre sceny były żenująco głupie i naiwne. Gra aktorska (pomimo, że obsada niezła) - żenująca. Nie wiem czemu Agnieszka Grochowska intonuje w tym filmie jak jakaś dziewczyna z trzepaka. Okropnie głupi i co gorsza przereklamowany. Absolutnie NIE polecam!"
"negative", "Film jest naprawdę beznadziejny i piszę to z całą mocą tego słowa. Produkcja jest nijaka, wręcz ściągnięta z amerykańskich odpowiedników. Fabuła jest banalna a wszelkie motywy kiczowate. Zakończenie, w którym jeden z bohaterów tańczy z małpą świetnie oddaje poziom tego filmu. Dzięki niemu całkowicie zraziłem się do komedii romantycznych"
"negative", "reklama zaciągnęła mnie do kina i.... ROZCZAROWAIA. Liczyłam na naprwdę porywający serce film o miłości. Miłość jest i to ta najpiękniejsza - dziecka. Reszta to reklama wnętrz i strojów. Nawet wątek pracy jest naciągany. Można obejrzeć i tyle. Nic ujmującego"
"negative", "Beznadziejny film, oceniam go poniżej krytyki. Istny koszmar, musiałem się wtedy nieźle nudzić żeby pozwolić sobie na oglądanie takich bzdur. komedyjka romantyczna bez historii w kinematografii. Żenujące kino. tylko ostatni ekstremiści są w stanie wytrwać do końca seansu."
"negative", "Taki napis powinien być na okładce tego filmu!!!!! Kiepski scenariusz o miałkiej nie przystajacej do życia w Polsce treści. Aktorstwo drewniane i na miernym poziomie. To kwintesencja największych grzechów współczesnego polskiego kina. Tej historii brakuje naturalności i spontaniczności."
"negative", "Film jest naprawdę beznadziejny i piszę to z całą mocą tego słowa. Produkcja jest nijaka, wręcz ściągnięta z amerykańskich odpowiedników. Fabuła jest banalna a wszelkie motywy kiczowate. Zakończenie, w którym jeden z bohaterów tańczy z małpą świetnie oddaje poziom tego filmu. Dzięki niemu całkowicie zraziłem się do komedii romantycznych"
"negative", "Film jest naprawdę beznadziejny i piszę to z całą mocą tego słowa. Produkcja jest nijaka, wręcz ściągnięta z amerykańskich odpowiedników. Fabuła jest banalna a wszelkie motywy kiczowate. Zakończenie, w którym jeden z bohaterów tańczy z małpą świetnie oddaje poziom tego filmu. Dzięki niemu całkowicie zraziłem się do komedii romantycznych"
"negative", "Beznadziejny film, oceniam go poniżej krytyki. Istny koszmar, musiałem się wtedy nieźle nudzić żeby pozwolić sobie na oglądanie takich bzdur. komedyjka romantyczna bez historii w kinematografii. Żenujące kino. tylko ostatni ekstremiści są w stanie wytrwać do końca seansu."
"negative", "Taki napis powinien być na okładce tego filmu!!!!! Kiepski scenariusz o miałkiej nie przystajacej do życia w Polsce treści. Aktorstwo drewniane i na miernym poziomie. To kwintesencja największych grzechów współczesnego polskiego kina. Tej historii brakuje naturalności i spontaniczności."
"negative", "Kupiłam ten film tylko dlatego,aby przekonać się o grze aktorskiej Macieja.Nie wiem co do końca o niej powiedzieć.Myśle,że ten film pokazuje jego wady i zalety.Ja osobiście mam uprzedzenia nawet do treści.Nie podoba mi się gra aktorów.Jedynym możliwym do obejrzenia fragmentem filmu jest picie wina przez Tomasza Karolaka i nic innego."
"negative", "Film zapowiada się bardzo ciekawie, jedna z góry mówię, iż taki nie jest. Banalny scenariusz, słaba muzyka. Film idealny dla zakochanych, którzy w nudnych momentach filmu mogą się przytulać itp. Innym osobom stanowczo odradzam."
"negative", "Film ten mogę polecić jedynie nastoletnim wielbicielkom Zakościelnego, gdyż jedyny powód dla którego warto obejrzeć ten film to właśnie jego osoba. Nie podobała mi się ani fabuła, ani humor, ani gra aktorska. Zakończenie było przewidywalne od samego początku."
